code,en_label,fr_label
0,0 to 8 years,0 à 8 années
1,Some high school,Études secondaires partielles
2,High school graduate,Études secondaires complétées
3,Some postsecondary,Études postsecondaires partielles
4,Postsecondary certificate or diploma,Diplôme ou certificat d'études postsecondaires
5,Bachelor's degree,Baccalauréat
6,Above bachelor's degree,Diplôme ou certificat universitaire supérieur au baccalauréat
